Original text,Corrected text,Waze location,Coordinates,closest_arial_distance_index,closest_arial_distance_meters
סופר בונוס יבנה,סופר בונוס – יבנה,"https://waze.com/ul?ll=31.863087,34.739125&navigate=yes","31.863087, 34.739125",72,483
מחסני השוק יעלים,מחסני השוק – יעלים,"https://waze.com/ul?ll=31.251100,34.779480&navigate=yes","31.251100, 34.779480",25,586
רמי לוי שדרות,רמי לוי – שדרות,"https://waze.com/ul?ll=31.526502,34.602092&navigate=yes","31.526502, 34.602092",55,473
מחסני הושק יד בנימין,מחסני השוק – יד בנימין,"https://waze.com/ul?ll=31.792720,34.824080&navigate=yes","31.792720, 34.824080",30,0
קרפור צפון ב״ש רחוב אברהם אבינו,"קרפור – באר שבע, שכונה ד׳","https://waze.com/ul?ll=31.270018,34.797222&navigate=yes","31.270018, 34.797222",5,1354
קרפור לב אשקלון ,קרפור – לב אשקלון,,,,
סיטי מרקט סניף ראשון גדרה,"סיטי מרקט – גדרה, סניף ציונה","https://waze.com/ul?ll=31.804598,34.790889&navigate=yes","31.804598, 34.790889",59,532
סופר קופיקס אשדוד,סופר קופיקס – אשדוד,"https://waze.com/ul?ll=31.777726,34.636456&navigate=yes","31.777726, 34.636456",3,560
רמי לוי מול,רמי לוי – מול,"https://waze.com/ul?ll=31.232927,34.797287&navigate=yes","31.232927, 34.797287",57,190
קרפור קלוזנר רמלה,קרפור – קלוזנר רמלה,"https://waze.com/ul?ll=31.919071,34.869466&navigate=yes","31.919071, 34.869466",69,1154
רמי לוי יבנה,רמי לוי – יבנה,"https://waze.com/ul?ll=31.885700,34.733740&navigate=yes","31.885700, 34.733740",63,895
מחסני השוק רד״ק,מחסני השוק – רד״ק,"https://waze.com/ul?ll=31.256575,34.771383&navigate=yes","31.256575, 34.771383",61,677
קרפור שדרות,קרפור – שדרות,"https://waze.com/ul?ll=31.523700,34.605850&navigate=yes","31.523700, 34.605850",45,473
מחסני השוק קרית מלאכי,מחסני השוק – קריית מלאכי,"https://waze.com/ul?ll=31.731658,34.753038&navigate=yes","31.731658, 34.753038",20,0
קרפור סינמה סיטי,קרפור – סינמה סיטי באר שבע,"https://waze.com/ul?ll=31.234304,34.798478&navigate=yes","31.234304, 34.798478",51,190
רמי לוי אשקלון צפון,רמי לוי – אשקלון צפון,"https://waze.com/ul?ll=31.662130,34.594590&navigate=yes","31.662130, 34.594590",77,2486
סיטי מרקט סניף שני גדרה,"סיטי מרקט – גדרה, סניף צהלה","https://waze.com/ul?ll=31.800019,34.789253&navigate=yes","31.800019, 34.789253",49,532
טסה שוקולד רחוב הציונות אשדוד,"טסה – שדרות הציונות, אשדוד","https://waze.com/ul?ll=31.787595,34.643303&navigate=yes","31.787595, 34.643303",79,1036
מחסני להב ב״ש,מחסני להב – באר שבע,"https://waze.com/ul?ll=31.250485,34.771336&navigate=yes","31.250485, 34.771336",54,677
רמי לוי לוד,רמי לוי – לוד,"https://waze.com/ul?ll=31.945270,34.892120&navigate=yes","31.945270, 34.892120",42,1046
מחסני השוק יבנה,מחסני השוק – יבנה,"https://waze.com/ul?ll=31.877970,34.736400&navigate=yes","31.877970, 34.736400",53,895
מחסני השוק סניף חדש,מחסני השוק – סניף חדש,TODO,,,
יוחננוף מבקיעים אשקלון,יוחננוף – מבקיעים,"https://waze.com/ul?ll=31.701280,34.579940&navigate=yes","31.701280, 34.579940",77,2689
יוחננוף גן יבנה,יוחננוף – גן יבנה,"https://waze.com/ul?ll=31.794680,34.705580&navigate=yes","31.794680, 34.705580",31,4516
קרפור קניון אביה,קרפור – קניון אביה,"https://waze.com/ul?ll=31.263278,34.778719&navigate=yes","31.263278, 34.778719",35,425
קרפור אשקלון בסיטי קיבוץ גלויות 5,קרפור – אשקלון סיטי,"https://waze.com/ul?ll=31.655189,34.556142&navigate=yes","31.655189, 34.556142",74,1829
שוק העיר רמלה רחוב דני מס,"שוק העיר – רמלה, קניון הרמבלס","https://waze.com/ul?ll=31.929320,34.867530&navigate=yes","31.929320, 34.867530",52,1154
טסה שוקולד רחוב רוגזין אשדוד,"טסה – רוגוזין, אשדוד  (client 1)","https://waze.com/ul?ll=31.803469,34.642244&navigate=yes","31.803469, 34.642244",71,347
טסה שוקולד רחוב רוגזין אשדוד,"טסה – רוגוזין, אשדוד  (client 2)","https://waze.com/ul?ll=31.806300,34.643792&navigate=yes","31.806300, 34.643792",70,347
פרש מרקט מחסני להב יבנה,מחסני להב / פרשמרקט – יבנה,"https://waze.com/ul?ll=31.866399,34.735819&navigate=yes","31.866399, 34.735819",43,483
מחסני השוק בית אשל,מחסני השוק – בית אשל,"https://waze.com/ul?ll=31.239870,34.793740&navigate=yes","31.239870, 34.793740",57,765
שוק העיר מכללה אשקלון רחוב אלי כהן,שוק העיר – מכללה אשקלון,"https://waze.com/ul?ll=31.667450,34.569030&navigate=yes","31.667450, 34.569030",77,1261
יוחננוף עקרון,יוחננוף – קריית עקרון,"https://waze.com/ul?ll=31.860190,34.814490&navigate=yes","31.860190, 34.814490",24,5921
מחסני השוק הקריה החרדית,מחסני השוק מהדרין – הקריה החרדית,"https://waze.com/ul?ll=31.267940,34.778430&navigate=yes","31.267940, 34.778430",67,519
קרפור אפרידר שדרות ירושלים,קרפור – אפרידר,"https://waze.com/ul?ll=31.677410,34.575410&navigate=yes","31.677410, 34.575410",74,1261
שוק העיר רמלה רחוב יעקב דורי,"שוק העיר – נאות שמיר, רמלה","https://waze.com/ul?ll=31.929080,34.849320&navigate=yes","31.929080, 34.849320",69,1719
קרפור ח אשדוד מרכז כלניות,"קרפור – אשדוד רובע ח׳, מרכז כלניות","https://waze.com/ul?ll=31.783685,34.653253&navigate=yes","31.783685, 34.653253",31,580
קרפור ד רוגזין אשדוד,קרפור – אשדוד רובע ד׳,"https://waze.com/ul?ll=31.800290,34.641557&navigate=yes","31.800290, 34.641557",70,359
